,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190426_204240_model_1,0.8302691540035709,0.06470749467983082,0.32694782557177665,0.11811283771262042,0.01395064243252781
1,GBM_2_AutoML_20190426_204240,0.8280303862087519,0.06541388995639945,0.376630425490354,0.11870978138000313,0.01409201219528813
2,GBM_1_AutoML_20190426_204240,0.827771465095361,0.06804975962611047,0.3616436178123827,0.12140825350903275,0.014739964020113563
3,GBM_grid_1_AutoML_20190426_204240_model_8,0.8273610154008878,0.06719531288823682,0.3563410164461152,0.1182735270860899,0.013988627209384043
4,GBM_grid_1_AutoML_20190426_204240_model_6,0.8263486869214307,0.06567771491646876,0.36279399029867865,0.11782269351254775,0.01388218710655176
5,GBM_grid_1_AutoML_20190426_204240_model_7,0.8258507085097846,0.0661548876857234,0.357168856933214,0.11802518869098005,0.013929945165541444
6,GBM_grid_1_AutoML_20190426_204240_model_4,0.8254298860658933,0.07201521220226484,0.3729294284979846,0.11940296991399013,0.014257069224281231
7,GBM_grid_1_AutoML_20190426_204240_model_16,0.8246199472154985,0.06510748438666507,0.3641772310094105,0.11789949617378385,0.013900291198032072
8,GBM_grid_1_AutoML_20190426_204240_model_11,0.8213205052849762,0.06639149616985733,0.38866394717380004,0.11805125214081615,0.01393609813201455
9,GBM_3_AutoML_20190426_204240,0.8210920368350854,0.06629412865679694,0.3333667335864596,0.11925663097379224,0.014222144031219259
10,StackedEnsemble_AllModels_AutoML_20190426_204240,0.8174416675038341,0.06606629684285208,0.3501174186590168,0.11810025418677154,0.013947670038980058
11,GBM_5_AutoML_20190426_204240,0.8146460732323371,0.06610900825422708,0.3641431651715299,0.11835997511413912,0.014009083709019637
12,StackedEnsemble_BestOfFamily_AutoML_20190426_204240,0.8137978848684629,0.06643812756370135,0.36631118217135983,0.1183255040064439,0.014000924898378972
13,GBM_4_AutoML_20190426_204240,0.8051453954336703,0.06828592959750761,0.4241329673758187,0.12012093481075335,0.014429038979809253
14,GBM_grid_1_AutoML_20190426_204240_model_12,0.7966517905880887,0.07214442041148349,0.3788229740425577,0.11938474695205807,0.014252717804806943
15,GBM_grid_1_AutoML_20190426_204240_model_14,0.7966374589059761,0.06888994405803997,0.37812933964501305,0.11858430785823128,0.014062238070215772
16,DeepLearning_grid_1_AutoML_20190426_204240_model_3,0.7956781092441717,0.0690853718666812,0.32717317355288433,0.11851507407310576,0.014045822782553742
17,GBM_grid_1_AutoML_20190426_204240_model_10,0.7934540188897794,0.0701639707143326,0.3908389484915714,0.1207777166211762,0.014587256832225141
18,GBM_grid_1_AutoML_20190426_204240_model_9,0.7832593350033805,0.07224994179921057,0.3861879027360426,0.12105165905691605,0.01465350416043185
19,GLM_grid_1_AutoML_20190426_204240_model_1,0.7692795916345366,0.06713924767765292,0.4068549490107621,0.11845117818967325,0.014030681614521723
20,DeepLearning_grid_1_AutoML_20190426_204240_model_4,0.7678513936990353,0.08556951882849641,0.3904558482797305,0.11967456985295573,0.014322002669489981
21,DRF_1_AutoML_20190426_204240,0.7653043305035955,0.11264924774171227,0.4426685260165757,0.12226912453274255,0.01494973881400331
22,GBM_grid_1_AutoML_20190426_204240_model_3,0.7649588660842265,0.07917383743170411,0.4060190523549486,0.12642113681176328,0.015982303832778568
23,DeepLearning_1_AutoML_20190426_204240,0.7644637142467967,0.07210908576153495,0.4026741604940596,0.12147226979849213,0.014755512329997663
24,XRT_1_AutoML_20190426_204240,0.7623874701474432,0.1031689581404103,0.4054922117680467,0.12149745858123355,0.014761632441698563
25,DeepLearning_grid_1_AutoML_20190426_204240_model_5,0.7195547400499963,0.08384677027491047,0.4198094238952499,0.11988089454884693,0.014371428877831754
26,DeepLearning_grid_1_AutoML_20190426_204240_model_1,0.7193745999684357,0.10975105650561176,0.4081104752442839,0.12040055070717152,0.014496292610590175
27,GBM_grid_1_AutoML_20190426_204240_model_2,0.6782604442824913,0.17024327023963934,0.4034363328333841,0.14311397246291904,0.02048160911411715
28,DeepLearning_grid_1_AutoML_20190426_204240_model_2,0.6475208791776442,0.134322248453253,0.454837731906368,0.12089952569531374,0.014616695313351831
29,GBM_grid_1_AutoML_20190426_204240_model_15,0.5575083380049604,2.1248008338850988,0.44182555860324224,0.2497008354203861,0.062350507209638736
30,GBM_grid_1_AutoML_20190426_204240_model_5,0.5429906292754636,2.138520729117531,0.4484442976354643,0.25621632717780923,0.06564680631248618
31,GBM_grid_1_AutoML_20190426_204240_model_13,0.4676380590905453,1.7153313260938976,0.4764757366782823,0.2380974592303847,0.05669040009196472
