,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_1_AutoML_20190426_171717,0.8280808409907131,0.06782808727123447,0.3764596468151433,0.12127428607571546,0.014707452463174469
1,GBM_grid_1_AutoML_20190426_171717_model_7,0.8246530967938471,0.06483325771279339,0.3472152098114177,0.11788754530603092,0.013897473338281492
2,GBM_grid_1_AutoML_20190426_171717_model_3,0.8233936289155465,0.07193349966792291,0.3842477836848857,0.11937313740608298,0.014249945934171566
3,GBM_grid_1_AutoML_20190426_171717_model_8,0.8233167409104849,0.07180612167860648,0.3643294770389943,0.11935796544138955,0.014246323914307947
4,GBM_3_AutoML_20190426_171717,0.8223477964554691,0.06661243279383451,0.3760434661766165,0.1195773300592364,0.014298737864095563
5,GBM_2_AutoML_20190426_171717,0.8223411578958415,0.06592412454586427,0.3613000464197825,0.11882825221343955,0.0141201535241008
6,StackedEnsemble_AllModels_AutoML_20190426_171717,0.8215510137089196,0.06766570812281827,0.3411508855916339,0.11901588220266986,0.014164780216479787
7,GBM_grid_1_AutoML_20190426_171717_model_4,0.8206459481024031,0.06661444067421712,0.378784923340109,0.11808774091165695,0.013944714553618618
8,GBM_grid_1_AutoML_20190426_171717_model_10,0.8200495582306531,0.06494551884486459,0.3634345335071184,0.1176974897475762,0.013852699092880805
9,GBM_5_AutoML_20190426_171717,0.8196596292921119,0.06577133060054385,0.40464937401408096,0.11830440165422795,0.013995931450764894
10,GBM_4_AutoML_20190426_171717,0.8037792438276047,0.06882059331739065,0.3740922915033715,0.1206037077883656,0.014545254332301475
11,StackedEnsemble_BestOfFamily_AutoML_20190426_171717,0.8036081971897007,0.06848186641517473,0.35384146908696795,0.11924679564306713,0.01421979827113941
12,GBM_grid_1_AutoML_20190426_171717_model_9,0.7860615246147159,0.07297434557344054,0.3757469870663743,0.1195820375354728,0.014299863701135226
13,GLM_grid_1_AutoML_20190426_171717_model_1,0.7692795916345366,0.06713924767765292,0.4068549490107621,0.11845117818967325,0.014030681614521723
14,XRT_1_AutoML_20190426_171717,0.7630958943568664,0.0995506974203816,0.4475008701440169,0.12128561661720147,0.01471020079821478
15,DRF_1_AutoML_20190426_171717,0.7621444193406621,0.11008334073988364,0.4306750690777569,0.1221220185376342,0.014913787411706275
16,DeepLearning_grid_1_AutoML_20190426_171717_model_1,0.7552256831073535,0.08352009142412582,0.3791595178974271,0.11926491953561408,0.0142241210318365
17,DeepLearning_1_AutoML_20190426_171717,0.7439455860778894,0.0726007315042288,0.4096164169366737,0.11925763427083062,0.014222383331875194
18,DeepLearning_grid_1_AutoML_20190426_171717_model_3,0.7348455470815379,0.11622781196598694,0.4130529866145028,0.12019738005654085,0.014447410172456527
19,GBM_grid_1_AutoML_20190426_171717_model_11,0.7135102364255589,0.07899019574759424,0.437740026502029,0.12910517253510442,0.016668145575319083
20,DeepLearning_grid_1_AutoML_20190426_171717_model_2,0.706768554380859,0.13634048864779905,0.4035871007461758,0.12084638966557106,0.014603849895203037
21,GBM_grid_1_AutoML_20190426_171717_model_1,0.6007970714547416,0.5418613354455075,0.4471402442225817,0.17719751199683534,0.031398958257868606
22,GBM_grid_1_AutoML_20190426_171717_model_2,0.5933581245502009,0.4639778251747698,0.41419575241789225,0.16682231970708647,0.02782968635245337
23,GBM_grid_1_AutoML_20190426_171717_model_6,0.5334933399082734,2.8143487613145934,0.4648498467590508,0.28594807156356106,0.08176629963091943
24,GBM_grid_1_AutoML_20190426_171717_model_5,0.5219809537995493,1.70263140784006,0.4775094503094563,0.2220370359077981,0.04930044531472082
